"behavior","cluster_id","cluster_label"
"lean on the railing","4","to climb"
"make the sign of the cross","34","to engage with the art community"
"fly an army plane","18","to play"
"text","26","to perform tasks"
"wear shoes with spikes","22","to wear"
"try on old clothes","6","to manage clothing"
"damage plants","21","to care for plants"
"express your true feelings","42","to discuss"
"ask someone for a plastic bag","12","to ask for something"
"bring flowers for everyone","21","to care for plants"
"ask to see the most powerful gun","12","to ask for something"
"paint graffiti","34","to engage with the art community"
"using a straightener","7",""
"change someone's bed","30","to sleep"
"fold clothes","6","to manage clothing"
"wipe your mouth with someone else's napkin","36","to use the mouth"
"stand on the stage","20","to sit"
"make announcements","49","to interact"
"negotiate contracts","15","to interact with others"
"worry about tuition","15","to interact with others"
"become a member","15","to interact with others"
"serve on a jury","15","to interact with others"
"drive home","3","to drive"
"put dairy in the same bags as produce","43","to engage in store operations"
"castrate a bull","35","to interact with animals"
"eat a watermelon","31","to eat"
"making noise","39","to make loud noises"
"call the police and give them a report","12","to ask for something"
"fix a fence","16","to interact with objects"
"be the first to leave","11","to leave"
"go home with someone","10","to move around"
"conduct an orchestra","13",""
"leave confidential documents out in the open","11","to leave"
"dance close to someone","45","to dance"
"get an mri","23","to check"
"dip your toes in the water","5","to be in water"
"throw away recyclable materials","16","to interact with objects"
"use honey","7",""
"give a massage without using massage oil","47","to use cosmetics"
"wear a football jersey","22","to wear"
"ask for a lawyer","12","to ask for something"
"play with the trigger","18","to play"
"clean something","24","to clean"
"blocking the aisle","43","to engage in store operations"
"ask for a mixed drink","1","to consume beverages"
"yielding to pedestrians","10","to move around"
"make jokes about weapons","29","to engage in humorous activities"
"eat a pb&j sandwich","31","to eat"
"buy a cassette tape","2","to buy"
"shoot guns over the edge","18","to play"
"mow the turfgrass","21","to care for plants"
"break into a car","3","to drive"
"breathe heavily","39","to make loud noises"
"get a x-ray","23","to check"
"see a movie with explicit sex scenes","17","to engage in sexual activities"
"give a statement to the police","49","to interact"
"check the fuel","23","to check"
"challenge the diagnosis","23","to check"
"carry heavy bags","28","to bring items"
"sit at the head of the table","20","to sit"
"buy a snow cone","2","to buy"
"get in the water","5","to be in water"
"sweep and mop the floors","24","to clean"
"drink out of plastic cups","1","to consume beverages"
"hang laundry out to dry","6","to manage clothing"
"have a map","26","to perform tasks"
"walk quickly","10","to move around"
"leave your chopsticks sticking up in your bowl","32","to cook"
"add sugar to your coffee","1","to consume beverages"
"throw objects onto the field","18","to play"
"climb on roofs","4","to climb"
"go into the restroom","33","to enter spaces"
"order 10 cups of coffee","1","to consume beverages"
"engage in premarital sex","17","to engage in sexual activities"
"put a hot pan on a cold surface","32","to cook"
"watch children's television","41","to care for children"
"stand on the counter","43","to engage in store operations"
"use toilet paper","7",""
"inject yourself with factor viii","47","to use cosmetics"
"use the cafe's microwave","32","to cook"
"count money","15","to interact with others"
"get a temporary tattoo","34","to engage with the art community"
"post about it on social media","42","to discuss"
"ask to borrow a pen or pencil","12","to ask for something"
"dance on tables","45","to dance"
"do a pirouette","10","to move around"
"ask a stranger for help","12","to ask for something"
"use a saw","7",""
"make love","17","to engage in sexual activities"
"carry a compass","10","to move around"
"open a box","33","to enter spaces"
"put up a tent","34","to engage with the art community"
"put a flag on the wall","34","to engage with the art community"
"bring your textbooks","28","to bring items"
"have mandatory meetings","15","to interact with others"
"order the meat dishes","32","to cook"
"advocate for equality","15","to interact with others"
"have a cockfight","17","to engage in sexual activities"
"bail out water","5","to be in water"
"ask for a rat tail","12","to ask for something"
"lose focus","38","to look"
"put a used condom on it","7",""
"give someone candy","44","to touch someone"
"carry an expensive bag","28","to bring items"
"go river rafting","5","to be in water"
"sit in the stands","20","to sit"
"drown out opposing views with noise","39","to make loud noises"
"flash a light in someone's face","46","to be in the dark"
"ask to see the manager","12","to ask for something"
"dance in a line","45","to dance"
"leave the water running","5","to be in water"
"wave your arms in the air","14","to use your hands"
"sample the food","25","to serve food"
"crawling on the floor","27","to lie on the floor"
"bring your own tent","28","to bring items"
"talk about your love life","42","to discuss"
"download and install software from unknown sources","16","to interact with objects"
"ask for a bowl cut","12","to ask for something"
"talk about your feelings","42","to discuss"
"monitor the instruments","13",""
"spill food or drink","1","to consume beverages"
"make copies of currency","26","to perform tasks"
"refill drinks","1","to consume beverages"
"wear saggy pants","6","to manage clothing"
"build a fire pit","0","to use fire"
"sit by the fire","0","to use fire"
"pray to the art","8","to participate in religious practices"
"put something alive on it","34","to engage with the art community"
"pleading","15","to interact with others"
"point your feet at someone","44","to touch someone"
"monitor the instruments for changes in altitude, heading, and speed","23","to check"
"taste the gas","36","to use the mouth"
"bring a drum","28","to bring items"
"change a light bulb","46","to be in the dark"
"grow genetically modified crops in your garden","21","to care for plants"
"leave food outside","25","to serve food"
"order a hamburger","25","to serve food"
"bring outside food","25","to serve food"
"keep track of customers' payments","15","to interact with others"
"go to see a basketball game","18","to play"
"inspect the carry-on luggage of each passenger","23","to check"
"get angry or upset","9","to express negative emotions"
"cooperate with the police","15","to interact with others"
"drink out of a cup without a lid","1","to consume beverages"
"wear lingerie","22","to wear"
"bring up the topic of race","42","to discuss"
"drink milk from the carton","1","to consume beverages"
"challenge the doctor's diagnosis","23","to check"
"leave the curtains open","33","to enter spaces"
"take a photograph of an idol","19","to take photos"
"hit the bed","30","to sleep"
"sleep in a sleeping bag","30","to sleep"
"play with blocks","18","to play"
"hang paintings or photos on the walls","34","to engage with the art community"
"stop to rest","20","to sit"
"check the power and the game's settings","23","to check"
"give a child a time out","41","to care for children"
"read a book on the stage","26","to perform tasks"
"hold a rally or protest","9","to express negative emotions"
"speak in tongues","39","to make loud noises"
"wear a formal outfit","22","to wear"
"go without a shirt on","6","to manage clothing"
"order a complicated dish","32","to cook"
"use your left hand to touch food","14","to use your hands"
"looking visibly distraught","9","to express negative emotions"
"give someone advice on how to prepare and cook the food","32","to cook"
"leave your belongings unsecured","11","to leave"
"go to bed without setting your alarm","30","to sleep"
"put your hands on the steering wheel","3","to drive"
"assist the crew","15","to interact with others"
"pray to win a game","8","to participate in religious practices"
"take your dog for a walk","10","to move around"
"bring inflatable toys","28","to bring items"
"only play with children of the same gender","18","to play"
"honoring your ancestors","8","to participate in religious practices"
"wear a durag","22","to wear"
"deflate the balloon","18","to play"
"build a shelter","34","to engage with the art community"
"interact with other people","49","to interact"
"disrupt the game","9","to express negative emotions"
"blow smoke in the ashtray","0","to use fire"
"leave your shoes on inside","6","to manage clothing"
"throw things off of the building","16","to interact with objects"
"use a coupons","2","to buy"
"add leavening","32","to cook"
"change someone's clothes","6","to manage clothing"
"put your fingers in someone's mouth","36","to use the mouth"
"suggest books","26","to perform tasks"
"yell at an athlete","9","to express negative emotions"
"put on a mask","22","to wear"
"have incentive programs","15","to interact with others"
"touch someone on the shoulder","44","to touch someone"
"buy tokens","2","to buy"
"spit up","36","to use the mouth"
"modify the equipment","16","to interact with objects"
"engage in physical contact with another person","44","to touch someone"
"walk around with your shirt off","6","to manage clothing"
"sweep","24","to clean"
"fall asleep without locking the door","30","to sleep"
"salute someone","44","to touch someone"
"become a campus tour guide","10","to move around"
"clean the stalls","24","to clean"
"create and implement policies","15","to interact with others"
"stop the development process","15","to interact with others"
"hold a service","15","to interact with others"
"roll your eyes at someone","38","to look"
"get down on your knees","20","to sit"
"pour gasoline on the ground","3","to drive"
"talk to customers","49","to interact"
"touch the barber's tools","37","to style"
"count a customer's money","15","to interact with others"
"clean the interior","24","to clean"
"have a quinceañera","17","to engage in sexual activities"
"score an own goal","18","to play"
"make a joke about someone","29","to engage in humorous activities"
"hit the ball with your hands","14","to use your hands"
"ask for a specific person by name","12","to ask for something"
"work more than 40 hours in a week","15","to interact with others"
"ring up the purchase","2","to buy"
"draw on the paintings","34","to engage with the art community"
"bowl with two bowling balls","18","to play"
"conduct a physical examination","23","to check"
"watch the stars","38","to look"
"carry a lot of cash","28","to bring items"
"sleep with a pet","35","to interact with animals"
"use a phone","48","to use a phone"
"install and configure new hardware and software","16","to interact with objects"
"change the exhibits to be more in line with your own beliefs","34","to engage with the art community"
"laugh at someone's misfortune","29","to engage in humorous activities"
"hair flipping","37","to style"
"pass out flyers","26","to perform tasks"
"complaining","9","to express negative emotions"
"bake without eggs","32","to cook"
"bring your children","41","to care for children"
"stand on your tip toes","20","to sit"
"use your fingers to pick your teeth","36","to use the mouth"
"catch a fish with your hands","14","to use your hands"
"bring an emotional support animal","35","to interact with animals"
"take nude photos","19","to take photos"
"lean on the railings","4","to climb"
"handle electrical cords","16","to interact with objects"
"give personal opinions about the art","42","to discuss"
"have a tea party","1","to consume beverages"
"shoot hoops by yourself","40","to go"
"jump out the window","33","to enter spaces"
"use an abacus for calculations","7",""
"criticize the police","9","to express negative emotions"
"get in the tub with assistance","5","to be in water"
"flirt with a referee","9","to express negative emotions"
"buy a strong smelling perfume or cologne","47","to use cosmetics"
"start a business","15","to interact with others"
"reach for something on the floor","27","to lie on the floor"
"give your name or personal information to someone","12","to ask for something"
"crowd around the airplane door","33","to enter spaces"
"step on someone else's shoes","44","to touch someone"
"wear a crown","22","to wear"
"get out of bed","30","to sleep"
"climb on the tightrope","4","to climb"
"kill an animal for food","35","to interact with animals"
"wear an apron","22","to wear"
"put your clothes on the floor","27","to lie on the floor"
"edit a story","26","to perform tasks"
"fart loudly","39","to make loud noises"
"watch a suicide portrayed on screen","17","to engage in sexual activities"
"comfort the victim's family","44","to touch someone"
"go to the bar","10","to move around"
"have a window","33","to enter spaces"
"give the players a pep talk","49","to interact"
"dance the hula","45","to dance"
"take control of the airplane","3","to drive"
"wear a two-piece bathing suit","22","to wear"
"dance with someone other than your spouse","45","to dance"
"cut out shapes","16","to interact with objects"
"look messy","24","to clean"
"flirt with other people","44","to touch someone"
"stay for more than a few hours","11","to leave"
"address a piece of mail","26","to perform tasks"
"throw pitches","18","to play"
"hang wet clothes inside","6","to manage clothing"
"keep a stash of romance novels","26","to perform tasks"
"catch a fish","5","to be in water"
"chase an animal","35","to interact with animals"
"play water volleyball","5","to be in water"
"eat unripe fruit","31","to eat"
"pre-soak your film","47","to use cosmetics"
"shave your legs/underarms","37","to style"
"apply a topical anesthetic","47","to use cosmetics"
"cook with a dirty stovetop","32","to cook"
"give someone your social security number","44","to touch someone"
"give someone directions to the nearest exit","33","to enter spaces"
"sing hymns","13",""
"make a fort out of boxes","34","to engage with the art community"
"read yeats","26","to perform tasks"
"skip rent","10","to move around"
"use a metal detector","23","to check"
"eat buffalo wings","31","to eat"
"check and clean the filters","24","to clean"
"look at someone","38","to look"
"sit on a machine and scroll through social media","26","to perform tasks"
"perform security checks","23","to check"
"look for ghosts","38","to look"
"have a lobster boil","32","to cook"
"recite the pledge of allegiance","8","to participate in religious practices"
"use a toilet","7",""
"skim the surface of the pool for debris","5","to be in water"
"generate electricity","21","to care for plants"
"put on a loud alarm clock","39","to make loud noises"
"abandon an animal","35","to interact with animals"
"tag each bag with the destination","43","to engage in store operations"
"ask for no ice","12","to ask for something"
"make obscene gestures","9","to express negative emotions"
"bake with flour","32","to cook"
"aiding the enemy","15","to interact with others"
"slide down a slide","16","to interact with objects"
"ask someone for help finding an item","12","to ask for something"
"staying after dark","46","to be in the dark"
"play pranks on someone","44","to touch someone"
"strip off all your clothes","6","to manage clothing"
"put hot food in the fridge","32","to cook"
"eat food with your bare hands","14","to use your hands"
"fish for food","25","to serve food"
"wear a halter top","22","to wear"
"ask to listen to a song","13",""
"make faces at your opponents","9","to express negative emotions"
"swim without a bathing cap","5","to be in water"
"walk away in the middle of a game","18","to play"
"leave trash around","11","to leave"
"wear boxing gloves","22","to wear"
"touch the sacrificial objects","8","to participate in religious practices"
"work during the night","46","to be in the dark"
"jeer the other player","9","to express negative emotions"
"put a television","34","to engage with the art community"
"have surgery","15","to interact with others"
"jump in line","15","to interact with others"
"ask for a happy ending","12","to ask for something"
"use a brush","7",""
"walk around with your hood up","6","to manage clothing"
"hook up with a random person","44","to touch someone"
"ask questions about the paintings","12","to ask for something"
"monitor breeding programs","23","to check"
"radically change the government's policies to align with values","15","to interact with others"
"sleep in class","30","to sleep"
"listen to mariachi music","13",""
"leave meat out","11","to leave"
"deprive an animal of food or water","35","to interact with animals"
"cuddle with an animal","35","to interact with animals"
"make out with somebody","44","to touch someone"
"display religious symbols","34","to engage with the art community"
"look under the hood","38","to look"
"speak in a natural voice","39","to make loud noises"
"ride a bicycle","10","to move around"
"refuse medication","15","to interact with others"
"put your feet up on the seat","20","to sit"
"drive with the windows down","3","to drive"
"poop","24","to clean"
"attend a book signing","26","to perform tasks"
"study in your bed","30","to sleep"
"sell pornographic material","2","to buy"
"constantly looking around the cafe","38","to look"
"taking the money out of the machines","16","to interact with objects"
"eat desserts or sweet treats","31","to eat"
"ski at night","46","to be in the dark"
"go on a long march","10","to move around"
"order the same thing twice in a row","43","to engage in store operations"
"checking out someone","38","to look"
"drive a cart on the green","3","to drive"
"have a guide dog","35","to interact with animals"
"sell counterfeit goods","2","to buy"
"take insulin","31","to eat"
"roll down a sand dune","10","to move around"
"write a message in the sand","26","to perform tasks"
"take your eyes off the road","38","to look"
"leave a cart in the middle of an aisle","43","to engage in store operations"
"leave your belongings unattended","11","to leave"
"ask for a water cup","1","to consume beverages"
"go to bed without cuddling","30","to sleep"
"use the word ""bathroom""","7",""
"get a tooth pulled","36","to use the mouth"
"wear a bikini top as a shirt","22","to wear"
"get a pap smear","17","to engage in sexual activities"
"ask to borrow money","12","to ask for something"
"brand a calf","35","to interact with animals"
"eat gluten","31","to eat"
"check your social media","23","to check"
"recite propaganda","9","to express negative emotions"
"bounce your leg","45","to dance"
"convince people to buy your products by using emotional appeals","2","to buy"
"move quickly","10","to move around"
"wear your hair down","37","to style"
"have a job","15","to interact with others"
"ask for ketchup","12","to ask for something"
"give up on a challenging workout","10","to move around"
"buy lube","2","to buy"
"use a compass to find your bearings","23","to check"
"grow your own food","25","to serve food"
"measure someone's waist","23","to check"
"bend down to pick up an animal","35","to interact with animals"
"sing your own song","13",""
"cook with moldy food","32","to cook"
"give religious speeches","8","to participate in religious practices"
"play with a cat","18","to play"
"drink caffeinated beverages","1","to consume beverages"
"brushing your teeth","36","to use the mouth"
"check the cabin pressure","23","to check"
"raise taxes","15","to interact with others"
"wear a shirt with a large print of a bloody scene","22","to wear"
"use the word ""hood"" to describe a city area","3","to drive"
"ask for directions to the bathroom","12","to ask for something"
"ask a store employee for help","12","to ask for something"
"walk in a group","10","to move around"
"eat in the library","31","to eat"
"pick your teeth with a fork","36","to use the mouth"
"give the animals baths","35","to interact with animals"
"buy souvenirs","2","to buy"
"use a starting pistol","7",""
"speak up","49","to interact"
"order a milkshake","1","to consume beverages"
"sing along to the radio","13",""
"make prank phone calls","48","to use a phone"
"climb on the art","4","to climb"
"massage someone's breasts","44","to touch someone"
"find your way out without help","11","to leave"
"work on sunday","16","to interact with objects"
"add cilantro to a dish","32","to cook"
"eat at a table for two","31","to eat"
"call someone by a pet name like ""honey""","35","to interact with animals"
"put your hand in the coin return slot","14","to use your hands"
"create signs","34","to engage with the art community"
"loudly slurp your food","39","to make loud noises"
"climb on the backboard","4","to climb"
"hang out in the dark","46","to be in the dark"
"hit on a coach","44","to touch someone"
"get dirt on your face","47","to use cosmetics"
"ask to hold a camera","19","to take photos"
"block someone's view","38","to look"
"go shopping by yourself","40","to go"
"ask the taxi driver to take you on a scenic route","3","to drive"
"unplug the arcade machines","16","to interact with objects"
"use a shovel","7",""
"run with your eyes closed","10","to move around"
"pack your supplies","28","to bring items"
"block the doorways","33","to enter spaces"
"drink your own urine","1","to consume beverages"
"wash clothes by hand","6","to manage clothing"
"using offensive language","9","to express negative emotions"
"set off the fire alarm","0","to use fire"
"maintain and repair equipment","16","to interact with objects"
"put your head on the seat in front of you","20","to sit"
"sing along to the music","13",""
"assist in surgeries","15","to interact with others"
"put the key in the ignition","3","to drive"
"stay for more than a few days","11","to leave"
"enter without first performing any cleansing rituals","33","to enter spaces"
"go on vacation","10","to move around"
"leave lights on","46","to be in the dark"
"talk with food in your mouth","49","to interact"
"drink purified water","1","to consume beverages"
"join a fraternity","17","to engage in sexual activities"
"discuss your sex life","42","to discuss"
"watch the passengers","38","to look"
"get in without a lifeguard on duty","33","to enter spaces"
"use a keurig machine","7",""
"drop your gloves","14","to use your hands"
"block the doorway","33","to enter spaces"
"tap your feet","14","to use your hands"
"bring in outside food or drink","1","to consume beverages"
"wear scrubs","22","to wear"
"ask a player out","12","to ask for something"
"climb into a balloon basket","4","to climb"
"sell products made in another country","2","to buy"
"study in your dorm room","26","to perform tasks"
"use a flash","7",""
"do a cooking class","32","to cook"
"paint a house","34","to engage with the art community"
"light a fragrant candle","0","to use fire"
"wear dresses or skirts","22","to wear"
"punch people's tickets","9","to express negative emotions"
"check your email","23","to check"
"ride in the front seat","20","to sit"
"flirt with a nurse","17","to engage in sexual activities"
"buy something made of wool","2","to buy"
"look at people walking by","38","to look"
"protest against the sale of tobacco products","2","to buy"
"look at phone","48","to use a phone"
"place a microphone on it","39","to make loud noises"
"educate patients and their families about their condition","15","to interact with others"
"sit in a lawn chair","20","to sit"
"turn your back on someone","44","to touch someone"
"wipe your nose on your fingers","36","to use the mouth"
"steer","3","to drive"
"burp","36","to use the mouth"
"maintain inventory levels","43","to engage in store operations"
"cook with dirty utensils","32","to cook"
"make fun of someone's appearance","29","to engage in humorous activities"
"wear a hairnet","22","to wear"
"bouncing your leg","45","to dance"
"introduce the speakers or entertainment for the evening","49","to interact"
"light a candle","0","to use fire"
"begging","12","to ask for something"
"run around in circles","10","to move around"
"tackle someone with the intent to injure them","44","to touch someone"
"enter while menstruating","33","to enter spaces"
"challenge the objectification of women","9","to express negative emotions"
"touch the needles","14","to use your hands"
"talk about your identity","42","to discuss"
"cutting vegetables with a knife","32","to cook"
"move heavy boxes","16","to interact with objects"
"climb on top of a car","4","to climb"
"grow genetically modified crops","21","to care for plants"
"step on or over the altar","8","to participate in religious practices"
"hire professors","15","to interact with others"
"scowling","9","to express negative emotions"
"criticize the food","25","to serve food"
"eat cotton candy","31","to eat"
"read a ghost story","26","to perform tasks"
"give safety tips","3","to drive"
"put your fingers in your nose","36","to use the mouth"
"change the lighting","46","to be in the dark"
"commit adultery","17","to engage in sexual activities"
"educate someone about sex","17","to engage in sexual activities"
"speak with your mouth full","36","to use the mouth"
"allow pets","35","to interact with animals"
"go without a reusable bag","11","to leave"
"look at the menu","38","to look"
"fix things","16","to interact with objects"
"assist with marketing and promotional activities","15","to interact with others"
"sit in the bleachers","20","to sit"
"make eye contact","38","to look"
"burn a flag","0","to use fire"
"put salt in coffee","32","to cook"
"check patients in","23","to check"
"hit the ball with your feet","18","to play"
"recommend items","2","to buy"
"park in front of a fire hydrant","0","to use fire"
"hide under the cars","3","to drive"
"blow your nose on a towel","36","to use the mouth"
"act childish","9","to express negative emotions"
"take a picture of yourself in front of a store window","19","to take photos"
"build a shed","21","to care for plants"
"sit in the corner","20","to sit"
"put your feet on the chair","20","to sit"
"browse the items in the shop","43","to engage in store operations"
"start a revolution","9","to express negative emotions"
"climb on a statue","4","to climb"
"cook meat over the fire","32","to cook"
"write in a journal","26","to perform tasks"
"engage in ancestor worship","8","to participate in religious practices"
"admire the someone's hair","37","to style"
"wear a fur coat","22","to wear"
"bake cookies without first checking the recipe","32","to cook"
"monitor the security cameras","23","to check"
"kick someone in the stomach","44","to touch someone"
"engage in sexual intercourse","17","to engage in sexual activities"
"check your grip","14","to use your hands"
"answer questions about medications","12","to ask for something"
"leave your belongings unsupervised","11","to leave"
"crawl on the floor to retrieve something","27","to lie on the floor"
"aim at someone","44","to touch someone"
"leave garbage on the floor","27","to lie on the floor"
"pick your teeth with your hand","36","to use the mouth"
"get a skin lightening treatment","47","to use cosmetics"
"sit in the back seat","20","to sit"
"park in a handicap spot","18","to play"
"wear beads","22","to wear"
"go to a party","17","to engage in sexual activities"
"climb on top of a car to work on it","3","to drive"
"give away free food","25","to serve food"
"record the performance","23","to check"
"pick your teeth at the table","36","to use the mouth"
"flick your ashes on the floor","27","to lie on the floor"
"play a contact sport","18","to play"
"use shaving cream","47","to use cosmetics"
"perform under the influence of drugs or alcohol","47","to use cosmetics"
"marry someone","44","to touch someone"
"enjoy the sceneryimb","10","to move around"
"watch","38","to look"
"breaking things","16","to interact with objects"
"inspect the water heater for signs of leaks or damage","23","to check"
"sing in a falsetto voice","39","to make loud noises"
"turn your back on the teacher","20","to sit"
"skip church on sunday","10","to move around"
"ride a horse","35","to interact with animals"
"dig through the garbage","24","to clean"
"buy generic brands","2","to buy"
"get a vaccination","15","to interact with others"
"impress someone with your moves","44","to touch someone"
"put a picnic blanket on the ground","21","to care for plants"
"refuse physical therapy","15","to interact with others"
"drill a hole in someone's tooth","44","to touch someone"
"drinking cow's milk","1","to consume beverages"
"stay up all night partying","30","to sleep"
"install insulation","16","to interact with objects"
"wear a brightly colored shirt","22","to wear"
"shaving someone's head","37","to style"
"make a weird face","29","to engage in humorous activities"
"fix plumbing","16","to interact with objects"
"climb on top of the counter","4","to climb"
"do a yoga pose in your seat","20","to sit"
"checking the time","23","to check"
"call a penalty on the home team","18","to play"
"smell the produce","21","to care for plants"
"bind books","26","to perform tasks"
"help customers","15","to interact with others"
"appearing sullen or melancholy","9","to express negative emotions"
"play volleyball","18","to play"
"make lewd comments or jokes","29","to engage in humorous activities"
"play with more than one ball","18","to play"
"promote your business on someone else's booth","15","to interact with others"
"eat on the floor","27","to lie on the floor"
"put on the flashing lights","46","to be in the dark"
"buy diet pills","2","to buy"
"crawl on the floor","27","to lie on the floor"
"hit an animal","35","to interact with animals"
"use perfume or cologne","47","to use cosmetics"
"announce the winner","9","to express negative emotions"
"leave trash or food behind","11","to leave"
"peel and chop vegetables","21","to care for plants"
"allow animals in","35","to interact with animals"
"refer to your friends as ""mate""","17","to engage in sexual activities"
"flap your arms","14","to use your hands"
"eat a slice of pizza","31","to eat"
"make a silly face","29","to engage in humorous activities"
"get a filling","36","to use the mouth"
"leave small children unattended inside","41","to care for children"
"wear body piercings","22","to wear"
"dance with someone other than your date","45","to dance"
"ignore suspicious activity","23","to check"
"pay for gas with a debit card","3","to drive"
"climb down","4","to climb"
"acknowledge the presence of a higher power","8","to participate in religious practices"
"put food on the floor","27","to lie on the floor"
"inspect the track for hazards","23","to check"
"bring your own scissors","28","to bring items"
"talk about gun control","42","to discuss"
"shoot a three-pointer","18","to play"
"cough or sneeze","47","to use cosmetics"
"answer a customer's questions","12","to ask for something"
"walk up to the front desk","33","to enter spaces"
"sit on your heels","20","to sit"
"sell fireworks","0","to use fire"
"ask the taxi driver to go faster","3","to drive"
"have an affair","17","to engage in sexual activities"
"chop down a tree","21","to care for plants"
"ordering food without first looking at the menu","25","to serve food"
"give a massage without first washing your hands","14","to use your hands"
"use a drying rack","7",""
"use a hose to clean your house","24","to clean"
"climb into the bleachers","4","to climb"
"checking email","23","to check"
"cross your fingers for good luck","14","to use your hands"
"dance with a prop","45","to dance"
"buy art","2","to buy"
"ask for someone by name","12","to ask for something"
"give a massage","44","to touch someone"
"hide behind it","20","to sit"
"give first aid","15","to interact with others"
"doodle in your notebook","26","to perform tasks"
"organize the equipment","43","to engage in store operations"
"drink lots of water","1","to consume beverages"
"carry a laptop","28","to bring items"
"use the women's restroom","7",""
"play with the food","25","to serve food"
"use a microscope","7",""
"follow the instructor's instructions","15","to interact with others"
"putting your hands on the ground","14","to use your hands"
"harm marine life","5","to be in water"
"check people with the metal detector","23","to check"
"speak ill of the president","9","to express negative emotions"
"get cornrows","21","to care for plants"
"carry a spear","28","to bring items"
"put your feet on the desk","20","to sit"
"use a wood-burning oven","0","to use fire"
"eat beef","31","to eat"
"inspect people's bags","23","to check"
"use paper towels","7",""
"take the patient's vital signs","23","to check"
"fall in love with someone","44","to touch someone"
"have a home theater","13",""
"use animal manure","35","to interact with animals"
"use a loudspeaker","39","to make loud noises"
"ask someone a question","12","to ask for something"
"making sounds of sexual pleasure","17","to engage in sexual activities"
"publicly criticize the school's management","9","to express negative emotions"
"throw things","16","to interact with objects"
"following a trail","10","to move around"
"make a joke","29","to engage in humorous activities"
"maintain the store appearance","43","to engage in store operations"
"do a shot","18","to play"
"store dairy products","43","to engage in store operations"
"play in the street","18","to play"
"dance the sirtaki","45","to dance"
"wear a jersey","22","to wear"
"dance in public","45","to dance"
"do a chin-up","9","to express negative emotions"
"do a split","17","to engage in sexual activities"
"proselytize or convert someone","8","to participate in religious practices"
"walk on the greens","21","to care for plants"
"drink from a straw","1","to consume beverages"
"have a wine and cheese party","1","to consume beverages"
"drink a beer","1","to consume beverages"
"wear a mouthguard","22","to wear"
"go on a nature walk","10","to move around"
"eat lamb","31","to eat"
"open an account","15","to interact with others"
"lick the dental tools","36","to use the mouth"
"ask for a perm","12","to ask for something"
"hold a conversation with someone","49","to interact"
"use the toilet with your left hand","14","to use your hands"
"lick the envelopes","26","to perform tasks"
"bring a musical instrument","28","to bring items"
"purchase an item without first inspecting it for quality","2","to buy"
"stay late","30","to sleep"
"keep livestock inside","35","to interact with animals"
"dunking your head under water","5","to be in water"
"leave the car unattended","11","to leave"
"give someone a knife as a gift","44","to touch someone"
"enter with your arms crossed","33","to enter spaces"
"get in a hot tub","5","to be in water"
"bake a cake with your bare hands","14","to use your hands"
"lick the spoon","36","to use the mouth"
"climb without knowing the route","4","to climb"
"hang wet laundry to dry","6","to manage clothing"
"use sex toys","7",""
"hang something from the ceiling","4","to climb"
"buy something with dairy and meat together","2","to buy"
"pay for the service","15","to interact with others"
"blow your nose on the tablecloth","36","to use the mouth"
"explain the rules","15","to interact with others"
"cook with durian","32","to cook"
"compare prices between stalls","43","to engage in store operations"
"spinning in circles","45","to dance"
"attend individual therapy sessions","15","to interact with others"
"avoid physical activity","10","to move around"
"dancing","45","to dance"
"ask for a description of the clothing","6","to manage clothing"
"give back change for a larger bill","15","to interact with others"
"bring in a large animal","35","to interact with animals"
"watch adult movies","17","to engage in sexual activities"
"read the mail","26","to perform tasks"
"check for insects or pests","23","to check"
"make weird faces","29","to engage in humorous activities"
"rush the stage","9","to express negative emotions"
"cheer for the opposing team","9","to express negative emotions"
"take photos of someone","19","to take photos"
"lean on something","4","to climb"
"eat a chicken sandwich","31","to eat"
"herd the cattle","35","to interact with animals"
"mix a drink for someone","1","to consume beverages"
"use the space as a gym","7",""
"wear mixed fabrics","22","to wear"
"buy chips","2","to buy"
"fix the boat","5","to be in water"
"take the customer's money","15","to interact with others"
"buy cotton candy","2","to buy"
"give inside information","49","to interact"
"cross a river","5","to be in water"
"put your feet on the edge","20","to sit"
"ask for a fork and knife to eat your food","25","to serve food"
"tell ghost stories","49","to interact"
"dust the cobwebs","24","to clean"
"bake without an apron","32","to cook"
"put your hands on the ropes","14","to use your hands"
"dance with your significant other","45","to dance"
"go outside without your shoes on","6","to manage clothing"
"allow someone under the age of 21 to enter","33","to enter spaces"
"talk about your sexual exploits","42","to discuss"
"dance the macarena","45","to dance"
"boast","9","to express negative emotions"
"sleep in late","30","to sleep"
"give the finger to someone","44","to touch someone"
"build a resort for the rich","15","to interact with others"
"lick the food off of someone else's plate","25","to serve food"
"leave food uncovered","25","to serve food"
"wear a bra as a shirt","22","to wear"
"clean up after yourself","24","to clean"
"leave used tampons on the floor","27","to lie on the floor"
"apply sunscreen to your chest","47","to use cosmetics"
"drive without a car registration","3","to drive"
"scratching","16","to interact with objects"
"put a dead animal on it","35","to interact with animals"
"leave the front door unlocked","33","to enter spaces"
"boo your own country's national anthem","9","to express negative emotions"
"bring your friends with you","28","to bring items"
"wear a low-cut shirt","22","to wear"
"raise funds","15","to interact with others"
"put dirty items back on the shelves","24","to clean"
"crying","9","to express negative emotions"
"display the flag","34","to engage with the art community"
"hang out near the entrance","33","to enter spaces"
"visit","10","to move around"
